Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
200.16.22.74-31.13.94.51-12501-443-6,200.16.22.74,12501,31.13.94.51,443,6,18/12/2019 03:39:03,12771,2,2,24.0,24.0,24.0,0.0,12.0,16.97056274847714,24.0,0.0,12.0,16.97056274847714,3758.5153864223635,313.209615535197,4257.0,5783.597582819883,10842.0,1.0,1928.0,1928.0,0.0,1928.0,1928.0,1.0,1.0,0.0,1.0,1.0,1,0,0,0,52,64,156.6048077675985,156.6048077675985,0.0,24.0,14.4,13.145341380123988,172.8,0,1,0,0,1,0,0,0,1.0,18.0,12.0,12.0,0,0,0,0,0,0,2,24,2,24,2053,113,0,20,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.51-38909-443-6,200.16.22.74,38909,31.13.94.51,443,6,18/12/2019 03:39:04,12242,2,2,24.0,24.0,24.0,0.0,12.0,16.97056274847714,24.0,0.0,12.0,16.97056274847714,3920.927952948865,326.7439960790721,4080.666666666667,5225.594926257998,9971.0,2.0,2269.0,2269.0,0.0,2269.0,2269.0,2.0,2.0,0.0,2.0,2.0,1,0,0,0,52,64,163.37199803953604,163.37199803953604,0.0,24.0,14.4,13.145341380123988,172.8,0,1,0,0,1,0,0,0,1.0,18.0,12.0,12.0,0,0,0,0,0,0,2,24,2,24,2053,113,0,20,0,0,0,0,0,0,0,0,No Label
147.75.65.221-200.16.22.74-443-50104-6,147.75.65.221,443,200.16.22.74,50104,6,18/12/2019 03:39:04,132,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.459184413217212,0,0,0,0,583333.3333333333,22727.272727272724,66.0,90.50966799187809,130.0,2.0,132.0,66.0,90.50966799187809,130.0,2.0,0,0,0,0,0,1,0,0,0,60,0,22727.272727272724,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,31088,-1,1,20,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.51-64965-443-6,200.16.22.74,64965,31.13.94.51,443,6,18/12/2019 03:39:04,12327,2,2,24.0,24.0,24.0,0.0,12.0,16.97056274847714,24.0,0.0,12.0,16.97056274847714,3893.8914577756145,324.49095481463456,4109.0,5361.2236476386615,10174.0,2.0,2151.0,2151.0,0.0,2151.0,2151.0,2.0,2.0,0.0,2.0,2.0,1,0,0,0,52,64,162.24547740731728,162.24547740731728,0.0,24.0,14.4,13.145341380123988,172.8,0,1,0,0,1,0,0,0,1.0,18.0,12.0,12.0,0,0,0,0,0,0,2,24,2,24,2053,113,0,20,0,0,0,0,0,0,0,0,No Label
172.22.71.160-54.154.227.140-37684-80-6,172.22.71.160,37684,54.154.227.140,80,6,18/12/2019 03:39:04,25038,3,7,197.0,4433.0,197.0,0.0,65.66666666666667,113.73800303035628,1448.0,0.0,633.2857142857143,727.5004500080428,184918.92323668025,399.3929227574087,2782.0,8080.042419443106,24326.0,9.0,24389.0,12194.5,17204.615093049888,24360.0,29.0,25004.0,4167.333333333334,9914.637959434862,24403.0,9.0,0,0,0,0,104,232,119.81787682722262,279.5750459301861,0.0,1448.0,420.9090909090909,638.1925186878102,407289.6909090909,0,0,0,1,0,0,0,0,2.0,463.0,65.66666666666667,633.2857142857143,0,0,0,0,0,0,3,197,7,4433,65535,59,1,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-69.171.250.52-40983-5222-6,200.16.22.74,40983,69.171.250.52,5222,6,18/12/2019 03:39:04,17706,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.43409013893597,8853.0,5738.87863611002,12911.0,4795.0,17706.0,17706.0,0.0,17706.0,17706.0,0,0,0,0,0,0,0,0,0,52,32,112.95606009262397,56.478030046311986,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,2048,113,0,20,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.19-6887-443-6,31.13.94.19,443,200.16.22.74,6887,6,18/12/2019 03:39:04,17624,1,4,475.0,63.0,475.0,475.0,475.0,0.0,39.0,0.0,15.75,19.189841062395487,30526.5546981389,283.7040399455288,4406.0,1958.4708320523948,6854.0,2774.0,0,0,0,0,0,12504.0,4168.0,2326.703247085885,6854.0,2774.0,1,0,0,0,32,128,56.74080798910576,226.96323195642304,0.0,475.0,168.83333333333331,237.6210568671612,56463.76666666666,0,1,0,0,1,0,0,0,4.0,202.6,475.0,15.75,0,0,0,0,0,0,1,475,4,63,123,1024,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.19-6887-443-6,31.13.94.19,443,200.16.22.74,6887,6,18/12/2019 03:39:04,3,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,1.3E7,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,1,0,0,0,64,0,666666.6666666666,0.0,0.0,39.0,26.0,22.516660498395403,507.0,0,1,0,0,1,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,2,39,0,0,123,-1,0,32,0,0,0,0,0,0,0,0,No Label
200.16.22.74-31.13.94.35-37667-443-6,200.16.22.74,37667,31.13.94.35,443,6,18/12/2019 03:39:04,2420,5,0,39.0,0.0,39.0,0.0,7.8,17.44133022449836,0,0,0,0,16115.702479338845,2066.115702479339,605.0,601.0263444031939,1436.0,3.0,2420.0,605.0,601.0263444031939,1436.0,3.0,0,0,0,0,0,0,0,0,0,184,0,2066.115702479339,0.0,0.0,39.0,6.5,15.921683328090658,253.5,0,0,0,0,1,0,0,0,0.0,7.8,7.8,0.0,0,0,0,0,0,0,5,39,0,0,712,-1,1,32,0,0,0,0,0,0,0,0,No Label
181.13.166.97-200.16.22.74-443-40115-6,181.13.166.97,443,200.16.22.74,40115,6,18/12/2019 03:39:04,46953,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.59578727663834,46953.0,0.0,46953.0,46953.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.29789363831917,21.29789363831917,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,117,693,0,32,0,0,0,0,0,0,0,0,No Label
